"episode","n. 插曲；一段情节；插话；有趣的事件","an episode in a picaresque novel.流浪汉小说中的一个片断",
"algebra","n. 代数学","Doing my algebra was a piece of cake.做代数学对我来说简直太容易了。",
"seminar","n. 讨论会，研讨班","Professor White's seminar was cancelled.怀特教授的讨论会取消了。",
"dump","vt. 倾倒；倾卸；丢下，卸下；摆脱，扔弃；倾销
vi. 倒垃圾；突然跌倒或落下；卸货；转嫁（责任等）
n. 垃圾场；仓库；无秩序地累积","The truck dumped the coal on the ground.货车将煤卸于地上。",
"suburb","n. 郊区；边缘","The house is situated in the suburbs.该房子坐落在郊区。",
"subtract","vt. 减去；扣掉","To deduct or subtract from a cost or price.减少从费用或价格中扣除或减去",
"prompt","adj. 敏捷的，迅速的；立刻的
vt. 提示；促进；激起；（给演员）提白
n. 提示；付款期限；DOS命令：改变DOS系统提示符的风格
adv. 准时地","She needed an occasional prompt.她需要不时给予提示.",
"integrate","vt. 使…完整；使…成整体；求…的积分；表示…的总和
vi. 求积分；取消隔离；成为一体
adj. 整合的；完全的
n. 一体化；集成体","Integrated circuits are fairly recent development.集成电路是近年来才发展起来的。",
"auxiliary","n. 助动词；辅助者，辅助物；附属机构
adj. 辅助的；副的；附加的","This avoids cluttering up the core content with auxiliary material. 这样可以避免把核心内容与辅助资料混在一起。",
"naval","adj. 海军的；军舰的","Admiral Nelson was a naval officer.纳尔逊上将是个海军军官。",
"likelihood","n. 可能性，可能","In all likelihood, we shall be away for a week.我们很可能离开一星期。",
"orient","vt. 使适应；确定方向；使朝东
n. 东方；东方诸国
adj. 东方的
vi. 向东","Ian is a dab hand at the orient art.伊恩是东方艺术的行家。",
"identify","vt. 确定；鉴定；识别，辨认出；使参与；把…看成一样 vi. 确定；认同；一致","To identify the boundaries of;demarcate.标明界限;划界",
"adhere","vi. 坚持；依附；粘着；追随
vt. 使粘附","One who adheres to pluralism.多元论者坚持多元论的人",
"radical","adj. 激进的；根本的；彻底的
n. 基础；激进分子；[物化] 原子团；[数] 根数","A univalent organic radical,C2H5.乙基一种一价烃基的",
"optics","n. [光] 光学","Light stimulates the optic nerve.光刺激视神经。",
"obscure","adj. 昏暗的，朦胧的；晦涩的，不清楚的；隐蔽的；不著名的，无名的
vt. 使…模糊不清，掩盖；隐藏；使难理解
n. 某种模??的或不清楚的东西","Smog oBscured our view.烟雾模糊了我们的视野",
"tide","n. 趋势，潮流；潮汐
vt. 随潮漂流","A rising tide of discontent.不满的潮水高涨",
"extinct","adj. 灭绝的，绝种的；熄灭的
vt. 使熄灭","an extinct volcano.一座死火山",
"vague","adj. 模糊的；含糊的；不明确的；暧昧的","Vague,groundless speculation.空想模糊的、无根据的思索",
"mild","adj. 温和的；轻微的；淡味的；文雅的；不含有害物质的的
n. （英国的一种）淡味麦芽啤酒","A promise of spring in the milder air.和风预示着春天就要到来",
"transplant","vt. 移植；迁移；使移居
n. 移植；移植器官；被移植物；移居者
vi. 移植；迁移；移居","It didn't transplant successfully.它没有移植成功。",
"blast","n. 爆炸；冲击波；一阵
vi. 猛攻
vt. 爆炸；损害；使枯萎","The wind Blast has relented.风力已减弱了。",
"zealous","adj. 热心的，热情的，积极的","A strain of zealous idealism.一副狂热的理想主义的口吻",
"zeal","n. 热情；热心；热诚","He is a man of zeal.他是热心人。",
"wreck","n. 破坏；失事；残骸；失去健康的人
vt. 破坏；使失事；拆毁
vi. 失事；营救失事船只","The smouldering wreck fumed thick black smoke. 燃烧的残骸冒出浓烈的黑烟。",
"wreath","n. 花冠；圈状物
vt. 环绕（等于wreathe）
vi. 盘旋（等于wreathe）","They twisted flowers into a wreath. 他们用花编成了一个花圈。",
"wrap","vt. 包；缠绕；隐藏；掩护
vi. 包起来；缠绕；穿外衣
n. 外套；围巾","Please wrap this item separately.请分开装。",
"worm","n. 虫，蠕虫；蜗杆；螺纹；小人物
vt. 使蠕动；给除虫；使缓慢前进
vi. 慢慢前进；蠕行","The worm inched along. 这条虫子向前慢慢移动着。",
"whitewash","n. 粉饰；白色涂料；石灰水
vt. 掩饰；把…刷白","Don’t lie or try to whitewash facts, but don’t feel you have to go into every topic completely, especially for a young child. 不要撒谎或者试图粉饰事实。 但也不要在每个细节上都过于深入，尤其是在面对特别小的孩子的时候。",
"whirl","n. 旋转，回旋；昏乱；一连串的事；短暂的旅行
vi. 旋转，回旋；急走；头晕眼花
vt. 使旋转；卷走，飞快地带走","The tumultuous movements of these minds at liberty and at work set his ideas in a whirl. 所有这些自由自在和从事工作的青年人的喧嚣往来急遽搅乱了他的思想。",
"whilst","conj. 同时；时时，有时；当…的时候","As you lower your pen whilst continuing the motion, you should notice the resulting shape is more regular than it otherwise would have been. 随着你降低你的笔，同时保持圆周运动，你应该会注意到画出的形状比起不这样做画出的形状要规范的多。",
"wheat","n. 小麦；小麦色","They are cropping wheat. 他们正在收割小麦。",
"weave","vt. 编织；编排；使迂回前进
vi. 纺织；编??；迂回行进
n. 织物；织法；编织式样","Workers weave silk thread into beautiful shirts. 工人把丝线织成漂亮的衬衫。",
"weary","adj. 疲倦的；厌烦的；令人厌烦的
vi. 疲倦；厌烦
vt. 使疲倦；使厌烦","The weary priest droned a prayer. 疲惫不堪的牧师喃喃地念祷词。",
"wax","n. 蜡；蜡状物
vt. 给…上蜡
vi. 月亮渐满；增大
adj. 蜡制的；似蜡的","Wax polish preserves wood and leather. 上光蜡可以保护木材和皮革。",
"waggon","n. 四轮运货马车；运货车","The ragged man drags a waggon of rag fragments. 那个衣衫褴褛的人拉著一货车破布碎片.",
"wage","vi. 进行；发动；从事
n. 工资；代价；报偿
vt. 进行；开展","The low wage had warmed the worker to strike. 低工资使工人愤怒得要罢工。",
"voltage","n. [电] 电压","AC voltage regulator.交流电压调节器。",
"virtually","adv. 事实上，几乎；实质上","The dinner's virtually ready.饭菜差不多准备好了。",
"vinegar","n. 醋","Vinegar contains acetic acid.醋中含有醋酸",
"vine","n. 藤；葡萄树；藤本植物；攀缘植物
vi. 长成藤蔓；爬藤","a scandent vine.攀缘的葡萄藤",
"vice","n. 恶习；缺点；[机] 老虎钳；卖淫
prep. 代替
vt. 钳住
adj. 副的；代替的","No vice goes alone．恶事不单行",
"vex","vt. 使烦恼；使困惑；使恼怒
vi. 烦恼","I was a trifle vexed.我有些恼怒。",
"veteran","n. 老兵；老手；富有经验的人；老运动员
adj. 经验丰富的；老兵的","A disabled veteran;disabled children.伤残老兵;有残疾的孩子",
"velvet","n. 天鹅绒，丝绒；天鹅绒似的东西
adj. 天鹅绒的","The lawn looks like green velvet.那草坪看上去就像绿色的天鹅绒。",
"velocity","n. 速率，速度；周转率；迅速；高速，快速","The students were asked to calculate the velocity of light.要求学生计算出光的速度。",
"variation","n. 变化；[生物] 变异，变种","Variations outside the range given are not unlikely.变化超出规定范围并非不可能。",
"variable","adj. 变量的；可变的；易变的，多变的；变异的，[生物] 畸变的
n. [数] 变量；可变物，可变因素","A table friend is a variable friend.酒肉朋友靠不住。",
"vanity","n. 虚荣心；空虚；浮华；无价值的东西","His vanity was hurt by their talking so frankly.他们坦率的谈话伤害了他的虚荣心。",
"van","n. 先锋；厢式货车；增值网
vt. 用车搬运","The bus and the van collided.公共汽车与客货车相撞.",
"vacuum","n. 真空；空间；真空吸尘器
adj. 真空的；利用真空的；产生真空的
vt. 用真空吸尘器清扫","I reckon I'll vacuum the carpets.我想我要用真空吸尘器打扫地毯。",
"vacant","adj. 空虚的；空的；空缺的；空闲的；茫然的","A vacant estate.无人断承的房产",
"utter","vt. 发出，表达；发射
adj. 完全的；彻底的；无条件的","To utter in a monotone.吟咏以单调音吟出",
"upside-down","adj. 颠???的；乱七八糟的","This strikes me as an upside-down way of looking at things. 这种倒置的看待事物的方式，让我深受触动。",
"upright","adj. 正直的，诚实的；垂直的，直立的；笔直的；合乎正道的
n. 垂直；竖立","The guards stood upright at the gate.卫兵笔直地站立在门前。",
"turnip","n. 萝卜；芜菁甘蓝，大头菜","Human life and turnips remain cheap and plentiful.人命与萝卜依然是多而且便宜。",
"turbulent","adj. 骚乱的，混乱的；狂暴的；吵闹的；激流的，湍流的","TurBulent, revolutionary undercurrents.骚动的、革命的暗流",
"tumble","vi. 摔倒；倒塌；滚动；打滚；仓惶地行动
vt. 使摔倒；使滚翻；弄乱
n. 跌倒；翻筋斗；跌跤
[ 过去式tumbled 过去分词tumbled 现在分词tumbling ]","She tumBled downstairs.她从楼梯上摔了下来。",
"tuition","n. 学费；讲授","Her father had decided she ought to have private tuition.她父亲决定她应该有私人教师指导。",
"tuck","vt. 卷起；挤进；用某物舒适地裹住；使有褶裥；收拢；大口吃；使隐藏
n. 食物；船尾突出部；缝摺；抱膝式跳水；活力；鼓声
vi. 缝褶裥；缩拢；舒服地裹在里面；大口吃","He tucked his chin into his chest.他把下巴缩到胸前",
"tub","n. 浴盆；桶
vt. 把…装入桶；为…洗盆浴
vi. 洗盆浴；（衣服等）被放在桶里洗","The boy splashed in the tub.那个男孩在浴盆泼水。",
"trunk","n. 树干；躯干；象鼻；汽车车尾的行李箱
vt. 把…放入旅行箱内
adj. 干线的；躯干的；箱子的","The athlete has a powerful trunk.那个运动员身躯强壮有力。",
"tropical","adj. 热带的；热情的；酷热的","a lagoon that pullulated with tropical fish.聚满了热带鱼的咸水湖",
"troop","n. 军队；组；群；多数
vi. 群集；成群而行；结队
vt. 把（骑兵）编成骑兵连","The troops received orders to mobilize.部队接到了动员令。",
"trip","vi. 绊倒；远足??犯错误；轻快地走
n. 旅行；绊倒；差错
vt. 绊倒；使犯错","He apologized for the trip of the tongue.他为失言道了歉。",
"tribe","n. 部落；族；宗族；一伙","A nomadic tribe or group.游牧的部落或群体",
"treaty","n. 条约，协议；谈判","a prima facie violation of the treaty.对合约的明显违犯",
"treason","n. [法] 叛国罪；不忠","His actions touch on treason.他的行为近乎叛国。",
"transmit","vt. 传输；传播；发射；传达；遗传
vi. 传输；发射信号","Transmitted by sexual intercourse.通过性交传染的",
"transmission","n. 传动装置，[机] 变速器；传递；传送；播送","Fax: Abbreviation for facsimile transmission.See Facsimile.Fax:传真的简写。",
"transistor","n. 晶体管（收音机）","I need to buy a small transistor radio.我需要买一台小的半导体收音机。",
"tramp","vi. 流浪；践踏，踩；脚步沉重地行走
n. 流浪者；沉重的脚步声；徒步旅行
vt. 践踏，踩；走过","A tramp steamer.不定航线的不定期货船",
"tram","n. 电车轨道；煤车
vt. 用煤车运载
vi. 乘电车","The spindle is in tram.纺机锭子调整正确。",
"traitor","n. 叛徒；卖国贼；背信弃义的人","They dubbed him a traitor.他们叫他卖国贼。",
"trail","vt. 追踪；拖；蔓延；落后于
n. 小径；痕迹；尾部；踪迹
vi. 飘出；蔓生；垂下；拖曳","Her dress trailed on the ground.她的长裙拖地。",
"trace","vi. 追溯；沿路走
vt. 追踪，查探；描绘；回溯
n. 痕迹，踪迹；微量；[仪] 迹线；缰绳","The custom traces to a very early origin.这风俗由来很古。",
"toss","n. 投掷；摇荡；投掷的距离；掷币赌胜负
vt. 投掷；使…不安；突然抬起；使…上下摇动；与…掷币打赌
vi. 辗转；被乱扔；颠簸；掷钱币决定某事","Let's toss to see who pays the bill.让我们掷钱币决定谁来付帐。",
"torrent","n. 奔流；倾注；迸发；连续不断","It rains in torrents.大雨倾盆???",
"toe","n. 脚趾；足尖
vt. 用脚尖走；以趾踏触
vi. 动脚尖；用足尖跳舞","She turned her toes out.她把脚趾向外弯.",
"tiny","adj. 微小的；很少的","were cramped in the tiny cubicle.被关在这个小卧室中",
"timid","adj. 胆小的；羞怯的","He is always timid and overcautious.他总是胆小怕事。",
"tick","vt. 标记号于；滴答地记录
n. 滴答声；扁虱；记号；赊欠
vi. 发出滴答声；标以记号","The hours tick away.时光在滴答声中溜走。",
"throng","n. 人群；众多
vt. 群集；挤满
vi. 蜂拥而至；群集
adj. 拥挤的","A large gathering;a throng.人群一大群人;人群",
"thrive","vi. 繁荣，兴旺；茁壮成长","The markets are thriving in our country.我国市场繁荣。",
"thorn","n. 刺；[植] 荆棘","Barefoot must not go among thorn.赤脚莫向棘中行。",
"thermometer","n. 温度计；体温计","The thermometer registered 32C.温度计显示的读数为32C.",
"tenant","n. 承租人；房客；佃户；居住者
vt. 租借（常用于被动语态）","Recognizes the concerns of the tenants.确认房客们所关心的事",
"tempt","vt. 诱惑；引起；冒…的风险；使感兴趣","To entice; tempt.怂恿;诱使",
"tedious","adj. 沉闷的；冗长乏味的","The story is a wee bit tedious.这故事有些乏味。",
"tape","n. 胶带；磁带；带子；卷尺
vt. 录音；用带子捆扎；用胶布把…封住
vi. 用磁带录音","I taped a label on the box.我用胶布把一个标签黏贴在盒子上。",
"tan","n. （日晒后皮肤的）黝黑色；棕褐色；鞣料；马戏团
vt. 鞣（革）；晒成褐色
vi. 晒成棕褐色
adj. 黄褐色的；鞣皮的","I want to tan my back a bit more.我想把后背晒得再黑点儿.",
"synthetic","adj. 综合的；合成的，人造的
n. 合成物","This synthetic dress material does not crush.这种合成纤维衣料不会皱",
"Swiss","adj. 瑞士的；瑞士人的；瑞士风格的
n. 瑞士人；瑞士腔调","This is a Swiss made watch.这是一块???士产的手表。",
"sweep","vt. 扫除；猛拉；掸去
vi. 扫，打扫；席卷；扫视；袭击
n. 打扫，扫除；范围；全胜","A target vulnerable to sweeping gunfire.易受纵射的目标",
"sway","vt. 影响；统治；使摇动
vi. 影响；摇摆
n. 影响；摇摆；统治","The wind swayed the swing.风使秋千摇摆。",
"swarm","vi. 挤满；成群浮游；云集
n. 蜂群；一大群
vt. 挤满；爬","A riverBank swarming with insects.昆虫泛滥的河岸",
"swan","n. 天鹅；天鹅星座
vi. 游荡，闲荡","The swan glided across the lake.那只天鹅掠过湖面。",
"swamp","n. 沼泽；湿地
vt. 使陷于沼泽；使沉没；使陷入困境
vi. 下沉；陷入沼泽；陷入困境；不知所措（过去式swamped，过去分词swamped，现在分词swamping，第三人称单数swamps，名词swampiness，形容词swampy）","The swamp teems with mosquitoes.这片沼泽地蚊子多极了。",
"sustain","vt. 维持；支撑，承担；忍受；供养；证实","These facts sustain the theory.这些事实证实了这个理论。",
"suspend","vt. 延缓，推迟；使暂停；使悬浮
vi. 悬浮；禁赛","His license was suspended.他执照被吊销了。",
"sulphur","n. 硫磺；硫磺色
vt. 使硫化；用硫磺处理","Sulphur may poison a fuel cell. 硫会对燃料电池产生抑制作用。",
"succession","n. 连续；继位；继承权；[生态] 演替","There have been a succession of governments in Italy.意大利有一连串的政体。",
"submarine","n. 潜水艇；海底生物
adj. 海底的；水下的
vt. 用潜水艇攻击
vi. 在下疾行；在下滑动","The submarine rose to the surface.潜艇升到水面上来了。",
"stype","n. 药栓；药布","I stype which I likes, I also can to you extremely, extremely good! 是我喜欢的类型，我也会对你非常，非常好的！",
"stumble","vi. 踌躇，蹒跚；失足；犯错
vt. 使…困惑；使…绊倒
n. 绊倒；蹒跚而行","I stumbled on a rare book.我无意中发现了一本珍本书。",
"stroke","n. （游泳或划船的）划；中风；（打、击等的）一下；冲程；（成功的）举动；尝试；轻抚
vt. （用笔等）画；轻抚；轻挪；敲击；划尾桨；划掉；（打字时）击打键盘
vi. 击球；作尾桨手，指挥划桨；（打字时）击打键盘","Up two strokes in golf.在高尔夫球中领先其它选手两杆",
"stripe","n. 条纹，斑纹；种类
vt. 加条纹于…","A zebra is marked with stripes.斑马身上有条纹。",
"strip","vt. 剥夺；剥去；脱去衣服
n. 带；条状；脱衣舞
vi. 脱去衣服","Narrow,flat strips of pasta.扁平的意大利细面条",
"straw","n. 稻草；吸管；一文不值的东西
adj. 稻草的；无价值的","The straw mattresses are airing there.草褥子正在那里晾着。",
"strap","vt. 用带捆绑；用皮条抽打；约束
n. 带；皮带；磨刀皮带；鞭打
vi. 精力旺盛地工作；受束缚","He had a gun strapped to his middle.他腰间系着枪。",
"strain","n. 张力；拉紧；负担；??伤；血缘
vi. 拉紧；尽力
vt. 拉紧；滥用；滤去；竭力","The dog strained at its leash.狗猛拉拴它的绳",
"storey","n. [建] 楼层；叠架的一层","The upper storey projects over the street.二楼伸出街面。",
"stoop","vi. 弯腰；屈服；堕落
n. 弯腰，屈背；屈服
vt. 辱没，堕落；俯曲","I wouldn't stoop to borrowing money.我不愿厚着脸皮向人借钱。",
"stool","n. 凳子；粪便；厕所
vi. 长新枝；分檗
vt. 引诱，诱捕","She fell over the stool.她被凳子绊倒了。",
"stony","adj. 无情的；多石的；石头的","Two of the tyres punctured on the stony road.有两个车胎在碎石路上扎破了.",
"stock","n. 股份，股票；库存；血统；树干
adj. 存货的，常备的；平凡的
vt. 进货；备有；装把手于…
vi. 囤积；办货；出新芽","Raw stock: Base paper before coating.原纸:未加涂层的基纸。",
"stitch","n. 针脚，线迹；一针
vt. 缝，缝合
vi. 缝，缝合","To pad and stitch ornamentally.用垫料填塞装饰性地加以衬垫和缝制",
"stir","n. 搅拌；轰动
vt. 搅拌；激起；惹起
vi. 搅动；传播；走动","A gentle breeze stirred the leaves.微风吹动了树叶.",
"sting","n. 刺痛；讽刺，刺激；刺毛
vt. 刺；驱使；使…苦恼；使…疼痛
vi. 刺痛；被刺痛；感到剧痛","The Bee stung her leg.蜜蜂刺痛了她的腿。",
"stiff","adj. 呆板的；坚硬的；严厉的；拘谨的
adv. 僵硬地；彻底地
n. 死尸；令人讨厌者；流通票据；劳动者
vt. 诈骗；失信","He poured himself a stiff whisky.他给自己倒了一杯烈性威士忌酒。",
"stern","n. 船尾；末端
adj. 严厉的；坚定的","The stern mother has gained the upper hand of the family.这位严厉的母亲掌管了全家。",
"stem","n. 干；茎；船首；血统
vt. 阻止；除去…的茎；给…装柄
vi. 阻止；起源于某事物；逆行","Pack a valve stem.扎好活门塞",
"steer","vt. 控制，引导；驾驶
vi. 驾驶，掌舵；行驶
n. 阉牛","?I'll take a turn at the steering-wheel.该轮到我来驾驶了.",
"steep","adj. 陡峭的；不合理的；夸大的；急剧升降的
vt. 泡；浸；使…充满
vi. 泡；沉浸
n. 峭壁；浸渍","The car labored up the steep hill.车子吃力地向陡峭的山上开去。",
"steam","vt. 蒸，散发；用蒸汽处理
n. 蒸汽；精力
vi. 蒸，冒水汽
adj. 蒸汽的","We were steaming along at50mph.我们靠蒸汽动力以每小时。",
"startle","vt. 使吓一跳；使惊奇
vi. 惊吓；惊跳；惊奇
n. 惊愕；惊恐","He startled from sleep.他从睡梦中惊醒起来。",
"stale","adj. 陈腐的；不新鲜的
vi. 变陈旧；撒尿；变得不新鲜
vt. 使变旧；变得不新鲜
n. 尿","The stale air made us suffocate.浑浊的空气使我们感到窒息。",
"stake","n. 桩，棍子；赌注；火刑；奖金
vt. 资助，支持；系…于桩上；把…押下打赌
vi. 打赌","He plays at cards for high stakes.他下很大的赌注玩纸牌。",
"staircase","n. 楼梯","This staircase leads up to the roof.楼梯一直通往楼顶。",
"stain","vt. 沾污；败坏；给…着色
vi. 污染；被沾污；被染污
n. 污点；瑕疵；着色剂","vital dyes;vital staining.活体染剂;活体染色",
"stab","vt. 刺；刺伤；戳；刺穿；直入
vi. 刺；刺伤；戳；刺痛
n. 刺；戳；尝试；突发的一阵","I was stabbed with remorse.我因悔恨而心如刀割。",
"squirrel","n. 松鼠；松鼠毛皮
vt. 贮藏","Squirrels and hedgehogs hibernate.松鼠和猬是冬眠动物。",
"spur","n. 鼓舞，刺激；马刺；山坡
vi. 骑马疾驰；给予刺激
vt. 激励，鞭策；给…装踢马刺","To impel as if with a spur; urge on.鞭策似用刺激物驱赶;怂恿",
"sprinkle","n. 撒，洒；少量
vt. 洒；微雨；散置
vi. 洒，撒；下稀疏小雨；喷撒","Grandma sprinkle the flowers with water.祖母将水洒在花上。",
"spoon","n. 匙，勺子；一杓的量
vt. 用匙舀；使成匙状
vi. 轻轻向上击","The child eats with a spoon.这孩子用调???吃。",
"spontaneous","adj. 自发的；自然的；无意识的","The eruption of a volcano is spontaneous.火山爆发是自发的。",
"spin","vi. 旋转；纺纱；吐丝；晕眩
vt. 使旋转；纺纱；编造；结网
n. 旋转；疾驰","The earth spins on its axis.地球绕地轴旋转。",
"sphere","n. 范围；球体
vt. 包围；放入球内；使…成球形
adj. 球体的","A sphere of ecclesiastical authority.管辖教会权力的范围",
"sparrow","n. 麻雀；矮小的人","The sparrow perked up its tail.麻雀竖起尾巴。",
"span","n. 跨度，跨距；范围
vt. 跨越；持续；以手指测量","The arch has a span of 60 metres.那个拱的跨度为60米.",
"spade","n. 铁锹，铲子
vt. 铲；把……弄实抹平
vi. 铲","I bid four spades.我叫四黑桃",
"sow","vt. 播种；散布；使密布
vi. 播种
n. 母猪","The sea was sown with mines.海中布满了雷。",
"Soviet","adj. 苏维埃的；苏联的；苏联人的
n. 苏维埃；苏联政府；苏联人","I look up and see the Soviet flag on the moon.我抬头看见苏联的国旗在月球上飘扬。",
"sour","adj. 酸的；发酵的；刺耳的；酸臭的；讨厌的
vi. 发酵；变酸；厌烦
vt. 使变酸；使失望
n. 酸味；苦事","Their relationship soon went sour.他们的关系不久就变坏了.",
"sore","adj. 疼痛的，痛心的；剧烈的，极度的；恼火的，发怒的；厉害的，迫切的
n. 溃疡，痛处；恨事，伤心事","Patience is a plaster for all sores.忍耐可以减轻一切痛苦。",
"soluble","adj. [化学] 可溶的，可溶解的；可解决的","To wash or percolate the soluble matter from.沥滤从……中洗去或滤去可溶性物质",
"sober","adj. 冷静的，清醒的；未醉的
vt. 使严肃；使醒酒，使清醒","He slept himself sober.他藉睡眠于自己清醒。",
"soak","vt. 吸收，吸入；沉浸在（工作或学习中）；使……上下湿透
vi. 浸泡；渗透
n. 浸；湿透；大雨","He is an old soak.他是一个老酒鬼。",
"sly","adj. 狡猾的；淘气的；诡密的","Monty is a sly boots.他是个二流喜剧演员",
"slum","vi. （为猎奇或救济等）去贫民窟
n. 贫民窟；陋巷；脏乱的地方","He lived in a sordid slum.他生活在一个污秽的贫民窟。",
"slope","n. 斜坡；倾斜；斜率；扛枪姿势
vi. 倾斜；逃走
vt. 倾斜；使倾斜；扛","Let's slide down this grassy slope.我们顺着草坡滑下去吧。",
"slit","vt. 撕裂；使有狭缝
n. 裂缝；投币口
vi. 纵裂","He slit open the letter with a knife.他用小刀把信拆开。",
"slippery","adj. 滑的；狡猾的；不稳定的","A slippery sidewalk.打滑的人行道",
"slice","n. 薄片；部分；菜刀，火铲
vt. 切下；把…分成部分；将…切成薄片
vi. 切开；割破","Slice off a piece of salami.切下一薄片意大利腊肠",
"slender","adj. 细长的；苗条的；微薄的","A slender chance of survival.渺茫的生存机会",
"sleeve","n. [机] 套筒，[机] 套管；袖子，[服装] 袖套
vt. 给……装袖子；给……装套筒","She wetted her sleeves with tears.她泪沾衫袖。",
"slam","vt. 砰地关上；猛力抨击
vi. 砰地关上；猛力抨击
n. 猛击；砰然声","He threw his books down with a slam.他砰然一声将书摔在桌上。",
"sketch","n. 素描；略图；梗概
vt. 画素描或速写
vi. 画素描或速写","a freehand sketch.徒手画的草图",
"singular","adj. 单数的；单一的；非凡的；异常的
n. 单数","He has a singular interest in science.他对科学特别有兴趣。",
"shriek","vi. 尖叫；促人注意
vt. 尖声发出
n. 尖声；尖锐的响声","a ghastly shriek.恐怖的尖叫。",
"shilling","n. 先令","He bought it for five shillings.他花了五先令买它。",
"shed","vt. 流出；摆脱；散发；倾吐
vi. 流出；脱落；散布
n. 小屋，棚；分水岭","A duck's back sheds water.鸭背不沾水。",
"shave","vi. 剃须，剃毛
vt. 剃，削去；修剪；切成薄片；掠
n. 刮脸，剃胡子；修面；<口>侥幸逃过，幸免；剃刀，刮刀","My father shaves every day.我父亲每天都刮脸。",
"shear","vt. 剪；修剪；剥夺
vi. 剪；剪切；修剪
n. [力] 切变；修剪；大剪刀","The mansion is shorn of its splendors.该公馆已失去豪华景象。",
"shampoo","n. 洗发；洗发精
vt. 洗发","Shampoo and set, please.请替我洗发和卷发。",
"series","n. 系列，连续；[电] 串联；级数；丛书","One of a series of waves or wavelike segments.一系列波或波状部分之一",
"semiconductor","n. [电子][物] 半导体","In semiconductor receivers transistors take the place of vacuum tubes. 在半导体收音机中晶体管代替了真空管。",
"seal","n. 密封；印章；海豹；封条；标志
vt. 密封；盖章
vi. 猎海豹","Her fate is sealed.她的命运已定.",
"scrape","n. 刮掉；擦痕；困境；刮擦声
vt. 刮；擦伤；挖成
vi. 刮掉；刮出刺耳声","The bow scrapes the fiddle.弓在提琴上拉出刺耳的声音。",
"scout","n. 搜索，侦察；侦察员；侦察机
vt. 侦察；跟踪，监视；发现
vi. 侦察；巡视；嘲笑","We'd better start scouting about for a new secretary.我们最好着手物色一个新秘书.",
"scorn","n. 轻蔑；嘲笑；藐视的对象
vt. 轻蔑；藐视；不屑做
vi. 表示轻蔑；表示鄙视","To show contempt for;scorn.表示轻蔑;蔑视",
"scissors","n. 剪刀；剪式跳法
v. 剪开；删除（scissor的第三人称单数）","A right-handed pair of scissors.一把右手用的剪刀",
"scent","n. 气味；嗅觉；痕迹；察觉能力
vt. 闻到；发觉；使充满…的气味；循着遗臭追踪
vi. 发出…的气味；有…的迹象；嗅着气味追赶","I need some scented deodorant.我需要有香味的除体臭剂。",
"scatter","vi. 分散，散开；散射
vt. 使散射；使散开，使分散；使散播，使撒播
n. 分散；散播，撒播","Clouds were scattered by the wind.风起云散。",
"scarf","n. 围巾；嵌接，嵌接处；头巾领巾
vt. 披嵌接；用围巾围","Wrap a scarf round your neck.把围巾围在你的脖子上.",
"scarce","adj. 缺乏的，不足的；稀有的
adv. 仅仅；几乎不；几乎没有","Strawberries are scarce this year.缚琴拉出刺耳声音的初学者。",
"scale","n. 规模；比例；鳞；刻度；天平；数值范围
vi. 衡量；攀登；剥落；生水垢
vt. 测量；攀登；刮鳞；依比例决定","To come off in scales or layers;flake.剥落成鳞片状脱落;剥落",
